entrez,symbol,term_name,term_id,source
79074,C2orf49,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
221545,C6orf136,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10487,CAP1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10498,CARM1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79872,CBLL1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55749,CCAR1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
168455,CCDC71L,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
56853,CELF4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
60680,CELF5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9857,CEP350,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1106,CHD2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23155,CLCC1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
255919,CNEP1R1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4850,CNOT4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
57472,CNOT6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
28958,COA3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51287,COA4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
493753,COA5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
80347,COASY,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
27235,COQ2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51805,COQ3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51004,COQ6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51241,COX16,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
285521,COX18,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9377,COX5A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1340,COX6B1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1345,COX6C,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1349,COX7B,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8904,CPNE1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1460,CSNK2B,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1509,CTSD,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
11068,CYB561D2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
606495,CYB5RL,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1537,CYC1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10238,DCAF7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
167227,DCP2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
28960,DCPS,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10521,DDX17,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1660,DHX9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1743,DLST,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
27000,DNAJC2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1798,DPAGT1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
54920,DUS2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1781,DYNC1I2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9149,DYRK1B,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64641,EBF2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23644,EDC4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9538,EI24,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8664,EIF3D,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51386,EIF3L,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
56478,EIF4ENIF1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51234,EMC4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
56851,EMC7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
56943,ENY2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2068,ERCC2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2072,ERCC4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55500,ETNK1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
11340,EXOSC8,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2177,FANCD2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64319,FBRS,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
26234,FBXL5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2224,FDPS,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
221937,FOXK1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2527,FUT5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51343,FZR1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2653,GCSH,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2671,GFER,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2673,GFPT1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51218,GLRX5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2760,GM2A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79158,GNPTAB,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
2926,GRSF1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
3052,HCCS,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
3066,HDAC2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
26275,HIBCH,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10363,HMG20A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10075,HUWE1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
3422,IDI1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51124,IER3IP1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
3560,IL2RB,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
26512,INTS6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10527,IPO7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8660,IRS2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
7994,KAT6A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23028,KDM1A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84162,KIAA1109,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
24137,KIF4A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8609,KLF7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55904,KMT2E,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79944,L2HGDH,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8270,LAGE3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10542,LAMTOR5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23395,LARS2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
123169,LEO1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79727,LIN28A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84946,LTV1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6416,MAP2K4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
7786,MAP3K12,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9448,MAP4K4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79109,MAPKAP1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9261,MAPKAPK2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23263,MCF2L,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
57192,MCOLN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4193,MDM2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4221,MEN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9258,MFHAS1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4298,MLLT1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64223,MLST8,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23041,MON2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
254956,MORN5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55257,MRGBP,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51069,MRPL2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
219927,MRPL21,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51264,MRPL27,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
28957,MRPS28,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8897,MTMR3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
25821,MTO1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4641,MYO1C,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
80155,NAA15,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
60560,NAA35,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
126328,NDUFA11,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4700,NDUFA6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4702,NDUFA8,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4704,NDUFA9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51103,NDUFAF1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
29078,NDUFAF4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4708,NDUFB2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4710,NDUFB4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4712,NDUFB6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4713,NDUFB7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4714,NDUFB8,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4715,NDUFB9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4717,NDUFC1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
100532726,NDUFC2-KCTD14,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4720,NDUFS2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4725,NDUFS5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4726,NDUFS6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4728,NDUFS8,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4723,NDUFV1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4776,NFATC4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
27247,NFU1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51335,NGRN,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
29982,NRBF2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64324,NSD1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4915,NTRK2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
80224,NUBPL,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4967,OGDH,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9480,ONECUT2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
4976,OPA1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23047,PDS5B,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
57107,PDSS2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5191,PEX7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
283871,PGP,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9678,PHF14,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51317,PHF21A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9488,PIGB,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10026,PIGK,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84992,PIGY,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5289,PIK3C3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8503,PIK3R3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79717,PPCS,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5520,PPP2R2A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
54896,PQLC2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
11230,PRAF2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5660,PSAP,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5706,PSMC6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5728,PTEN,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9232,PTTG1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
114825,PWWP2A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
100996939,PYURF,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5861,RAB1A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23637,RABGAP1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9821,RB1CC1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
5934,RBL2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10137,RBM12,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10179,RBM7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
283248,RCOR2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
23180,RFTN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64864,RFX7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55072,RNF31,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79657,RPAP3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6120,RPE,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6206,RPS12,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6232,RPS27,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
65117,RSRC2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
201965,RWDD4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10055,SAE1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
57167,SALL4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84324,SARNP,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6391,SDHC,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9632,SEC24C,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
25956,SEC31B,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6400,SEL1L,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
59343,SENP2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
119559,SFXN4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51548,SIRT6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
26503,SLC17A5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10463,SLC30A9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55032,SLC35A5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
54861,SNRK,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
402381,SOHLH1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
166378,SPATA5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
163778,SPRR4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
140890,SREK1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6812,STXBP1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
252983,STXBP4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8802,SUCLG1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6838,SURF6,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84447,SYVN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
117143,TADA1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6873,TAF2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
6874,TAF4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
57551,TAOK1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
83940,TATDN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1155,TBCB,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79718,TBL1XR1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
