term_id,term_name,genes_associated_in_db,source
C0278600,Childhood Brain Stem Glioma,1,CGI
C0278622,Adult Malignant Peripheral Nerve Sheath Tumor,1,CGI
C0279680,Transitional cell carcinoma of bladder,1,CGI
C0279987,Childhood Malignant Peripheral Nerve Sheath Tumor,1,CGI
C0280313,Squamous cell carcinoma of oropharynx,1,CGI
C0280803,Primary central nervous system lymphoma,1,CGI
C0281508,Desmoplastic Small Round Cell Tumor,1,CGI
C0334121,Inflammatory Myofibroblastic Tumor,1,CGI
C0338106,Adenocarcinoma of colon,1,CGI
C0341823,Epithelial tumor of ovary,1,CGI
C0345832,Neoplasm of small intestine,1,CGI
C0346037,Acral Lentiginous Malignant Melanoma,1,CGI
C0349566,Squamous cell carcinoma of tongue,1,CGI
C0496924,Neoplasm of uncertain or unknown behavior of testis,1,CGI
C0553580,Ewings sarcoma,1,CGI
C0751690,Malignant Peripheral Nerve Sheath Tumor,1,CGI
C0878675,Erdheim-Chester Disease,1,CGI
C1266144,Pleuropulmonary blastoma,1,CGI
C1266158,Nongerminomatous Germ Cell Tumor,1,CGI
C1266177,Dysembryoplastic neuroepithelial tumor,1,CGI
C1306837,Papillary Renal Cell Carcinoma,1,CGI
C1336005,Small Intestinal Neuroendocrine Neoplasm,1,CGI
C2145472,Urothelial Carcinoma,1,CGI
C2212006,Small cell carcinoma of ovary,1,CGI
C2363142,T-Cell Prolymphocytic Leukemia,1,CGI
C3898222,mucosal melanoma,1,CGI
