term_id,term_name,genes_associated_in_db
C0023212,Left-Sided Heart Failure,110
C0086404,Experimental Hepatoma,110
C0235527,"Heart Failure, Right-Sided",110
C0282313,"Condition, Preneoplastic",110
C1959583,Myocardial Failure,110
C4277690,Ciliopathies,110
C0345967,Malignant mesothelioma,109
C4552766,Miscarriage,109
C0002152,Alloxan Diabetes,108
C0011853,"Diabetes Mellitus, Experimental",108
C0038433,Streptozotocin Diabetes,108
C0239946,"Fibrosis, Liver",105
C0023890,Liver Cirrhosis,104
C0035334,Retinitis Pigmentosa,104
C0494475,Tonic - clonic seizures,104
C4505456,HIV Coinfection,103
C0030297,Pancreatic Neoplasm,102
C0346647,Malignant neoplasm of pancreas,102
C2609414,Acute kidney injury,102
C0022333,Jacksonian Seizure,101
C0022660,"Kidney Failure, Acute",101
C0149958,Complex partial seizures,101
C0234533,Generalized seizures,101
C0234535,Clonic Seizures,101
C0270824,Visual seizure,101
C0270846,Epileptic drop attack,101
C0751110,Single Seizure,101
C1565662,Acute Kidney Insufficiency,101
C0010606,Adenoid Cystic Carcinoma,100
C0276496,Familial Alzheimer Disease (FAD),100
C0004096,Asthma,99
C0011265,Presenile dementia,99
C0494463,"Alzheimer Disease, Late Onset",99
C0546126,Acute Confusional Senile Dementia,99
C0750900,"Alzheimer's Disease, Focal Onset",99
C0750901,"Alzheimer Disease, Early Onset",99
C1319315,Adenocarcinoma of large intestine,96
C0279626,Squamous cell carcinoma of esophagus,95
C0015695,Fatty Liver,93
C0017638,Glioma,93
C0029408,Degenerative polyarthritis,93
C0086743,Osteoarthrosis Deformans,93
C0030567,Parkinson Disease,92
C1510586,Autism Spectrum Disorders,91
C0035126,Reperfusion Injury,89
C2711227,Steatohepatitis,89
C0034069,Pulmonary Fibrosis,86
C0238463,Papillary thyroid carcinoma,86
C0334588,Giant Cell Glioblastoma,84
C4721507,"Alveolitis, Fibrosing",83
C0086237,"Epilepsy, Cryptogenic",82
C0751111,Awakening Epilepsy,82
C0008925,Cleft Palate,81
C0017636,Glioblastoma,81
C0338831,Manic,81
C3711374,Nonsyndromic Deafness,81
C0005587,"Depression, Bipolar",80
C0349204,Nonorganic psychosis,80
C0024141,"Lupus Erythematosus, Systemic",78
C0546837,Malignant neoplasm of esophagus,78
C0236804,Amphetamine Addiction,75
C0236807,Amphetamine Abuse,75
C0025958,Microcephaly,73
C0476089,Endometrial Carcinoma,73
C0011616,Contact Dermatitis,71
C0024713,Manic Disorder,71
C0038220,Status Epilepticus,71
C0029456,Osteoporosis,70
C0259783,mixed gliomas,70
C0400966,Non-alcoholic Fatty Liver Disease,70
C0555198,Malignant Glioma,70
C3241937,Nonalcoholic Steatohepatitis,70
C0010054,Coronary Arteriosclerosis,69
C2931456,"Prostate cancer, familial",69
C0004153,Atherosclerosis,67
C0085762,Alcohol abuse,67
C0162820,"Dermatitis, Allergic Contact",67
C0270823,Petit mal status,67
C0311335,Grand Mal Status Epilepticus,67
C0393734,Complex Partial Status Epilepticus,67
C0751522,"Status Epilepticus, Subclinical",67
C0751523,Non-Convulsive Status Epilepticus,67
C1956346,Coronary Artery Disease,65
C0009324,Ulcerative Colitis,64
C0011881,Diabetic Nephropathy,62
C0030305,Pancreatitis,62
C0274861,"Arsenic Poisoning, Inorganic",62
C0274862,"Nervous System, Organic Arsenic Poisoning",62
C0311375,Arsenic Poisoning,62
C0751851,Arsenic Encephalopathy,62
C0751852,Arsenic Induced Polyneuropathy,62
C0001787,"Osteoporosis, Age-Related",61
C0029459,"Osteoporosis, Senile",61
C0751406,Post-Traumatic Osteoporosis,61
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,61
C3501843,Nonmedullary Thyroid Carcinoma,61
C3501844,Familial Nonmedullary Thyroid Cancer,61
C0007194,Hypertrophic Cardiomyopathy,60
C0007786,Brain Ischemia,60
C0917798,Cerebral Ischemia,60
C4722327,"PROSTATE CANCER, HEREDITARY, 1",60
C0002736,Amyotrophic Lateral Sclerosis,59
C0007114,Malignant neoplasm of skin,59
C0038587,Substance Withdrawal Syndrome,58
C0242380,Libman-Sacks Disease,58
C0011854,"Diabetes Mellitus, Insulin-Dependent",57
C0022661,"Kidney Failure, Chronic",57
C0030246,Pustulosis of Palms and Soles,57
C0033860,Psoriasis,57
C0035222,"Respiratory Distress Syndrome, Adult",56
C0079744,Diffuse Large B-Cell Lymphoma,56
C0023418,leukemia,55
C0023434,Chronic Lymphocytic Leukemia,55
C0032285,Pneumonia,54
C0032300,Lobar Pneumonia,54
C0149925,Small cell carcinoma of lung,54
C0278883,Metastatic melanoma,54
C0751956,Acute Cerebrovascular Accidents,54
C0887898,Experimental Lung Inflammation,54
C3714636,Pneumonitis,54
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,53
C4707243,Familial thoracic aortic aneurysm and aortic dissection,53
C0021400,Influenza,52
C0023452,Childhood Acute Lymphoblastic Leukemia,52
C1168401,Squamous cell carcinoma of the head and neck,52
C0010346,Crohn Disease,50
C0023453,L2 Acute Lymphoblastic Leukemia,50
C0025149,Medulloblastoma,50
C1449563,"Cardiomyopathy, Familial Idiopathic",50
C1623038,Cirrhosis,50
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,50
C0027819,Neuroblastoma,48
C1862941,"Amyotrophic Lateral Sclerosis, Sporadic",48
C4551993,"Amyotrophic Lateral Sclerosis, Familial",48
C0007570,Celiac Disease,47
C0008312,Primary biliary cirrhosis,47
C0023264,Leigh Disease,47
C0029463,Osteosarcoma,47
C3179349,Gastrointestinal Stromal Sarcoma,47
C4551720,Primary Ciliary Dyskinesia,47
C0001956,Alcohol Use Disorder,46
C0011573,Endogenous depression,46
C0023487,Acute Promyelocytic Leukemia,46
C0026769,Multiple Sclerosis,46
C0220636,Malignant neoplasm of salivary gland,45
C0278701,Gastric Adenocarcinoma,45
C0740457,Malignant neoplasm of kidney,45
C0751324,"Multiple Sclerosis, Acute Fulminating",45
C0156147,Crohn's disease of large bowel,44
C0205734,"Diabetes, Autoimmune",44
C0267380,Crohn's disease of the ileum,44
C0278996,Malignant Head and Neck Neoplasm,44
C0340427,Familial dilated cardiomyopathy,44
C0342302,Brittle diabetes,44
C0376280,"Anxiety States, Neurotic",44
C0549473,Thyroid carcinoma,44
C0678202,Regional enteritis,44
C0949272,IIeocolitis,44
C1279420,Anxiety neurosis (finding),44
C3837958,"Diabetes Mellitus, Ketosis-Prone",44
C4554117,"Diabetes Mellitus, Sudden-Onset",44
C0023892,Biliary cirrhosis,43
C0025261,Memory Disorders,43
C0026764,Multiple Myeloma,43
C0205833,Medullomyoblastoma,43
C0278510,Childhood Medulloblastoma,43
C0278876,Adult Medulloblastoma,43
C0751291,Desmoplastic Medulloblastoma,43
C1275668,Melanotic medulloblastoma,43
C0025500,Mesothelioma,42
C0086133,Depressive Syndrome,42
C0238065,Secondary Biliary Cholangitis,42
C0263628,Tumoral calcinosis,42
C0494261,Combined immunodeficiency,42
C1837218,"Cleft palate, isolated",42
C4551595,"Biliary Cirrhosis, Primary, 1",42
C0007138,"Carcinoma, Transitional Cell",41
C0017667,Nodular glomerulosclerosis,41
C0025193,Melancholia,41
C0151779,Cutaneous Melanoma,41
C0152423,Congenital small ears,41
C0282126,"Depression, Neurotic",41
C0496956,Neoplasm of uncertain or unknown behavior of breast,41
C0858252,Breast adenocarcinoma,41
C0003865,"Arthritis, Adjuvant-Induced",40
C0022665,Kidney Neoplasm,40
C0598589,Inherited neuropathies,40
C0971858,"Arthritis, Collagen-Induced",40
C0993582,"Arthritis, Experimental",40
C0008924,Cleft upper lip,39
C0020443,Hypercholesterolemia,39
C0024117,Chronic Obstructive Airway Disease,38
C0153633,Malignant neoplasm of brain,38
C0002871,Anemia,37
C0011615,"Dermatitis, Atopic",37
C0027708,Nephroblastoma,37
C0040136,Thyroid Neoplasm,37
C0086543,Cataract,37
C0243026,Sepsis,37
C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,37
C0006413,Burkitt Lymphoma,36
C0017661,IGA Glomerulonephritis,36
C0017668,Focal glomerulosclerosis,36
C0022521,Kartagener Syndrome,36
C0086196,"Eczema, Infantile",36
C0205646,"Adenoma, Basal Cell",36
C0205647,Follicular adenoma,36
C0205648,"Adenoma, Microcystic",36
C0205649,"Adenoma, Monomorphic",36
C0205650,Papillary adenoma,36
C0205651,"Adenoma, Trabecular",36
C1850597,Leigh Syndrome Due To Mitochondrial Complex II Deficiency,36
C1850598,Leigh Syndrome due to Mitochondrial Complex III Deficiency,36
C1850599,Leigh Syndrome due to Mitochondrial Complex IV Deficiency,36
C1850600,Leigh Syndrome due to Mitochondrial Complex V Deficiency,36
C2931891,"Necrotizing encephalopathy, infantile subacute, of Leigh",36
C0007873,Uterine Cervical Neoplasm,35
C0010093,Corpus Luteum Cyst,35
C0020456,Hyperglycemia,35
C0022548,Keloid,35
C0029927,Ovarian Cysts,35
C0151468,Thyroid Gland Follicular Adenoma,35
C0752122,Spinocerebellar Ataxia Type 4,35
C3860213,Autoinflammatory disorder,35
C4317124,Polynesian Bronchiectasis,35
C4551906,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus",35
C0036337,Schizoaffective Disorder,34
C0087012,"Ataxia, Spinocerebellar",34
C0740376,Middle Cerebral Artery Thrombosis,34
C0740391,Middle Cerebral Artery Occlusion,34
C0740392,"Infarction, Middle Cerebral Artery",34
C0752120,Spinocerebellar Ataxia Type 1,34
C0752121,Spinocerebellar Ataxia Type 2,34
C0752123,Spinocerebellar Ataxia Type 5,34
C0752124,Spinocerebellar Ataxia Type 6 (disorder),34
C0752125,Spinocerebellar Ataxia Type 7,34
C4048328,cervical cancer,34
C0263454,Chloracne,33
C0496899,"Benign neoplasm of brain, unspecified",33
C0750974,"Brain Tumor, Primary",33
C0750977,Recurrent Brain Neoplasm,33
C0750979,Primary malignant neoplasm of brain,33
C0948089,Acute Coronary Syndrome,33
C1135196,"Heart Failure, Diastolic",33
C1527303,Chronic Airflow Obstruction,33
C1956147,Microlissencephaly,33
C0001969,Alcoholic Intoxication,32
C0005398,"Cholestasis, Extrahepatic",32
C0017658,Glomerulonephritis,32
C0019163,Hepatitis B,32
C0019569,Hirschsprung Disease,32
C0024305,"Lymphoma, Non-Hodgkin",32
C0024809,Marijuana Abuse,32
C0149782,Squamous cell carcinoma of lung,32
C0345958,Large cell carcinoma of lung,32
C2931498,"Mental Retardation, X-Linked 1",32
C0023493,Adult T-Cell Lymphoma/Leukemia,31
C0524620,Metabolic Syndrome X,31
C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",31
C1335167,Ovarian Mucinous Adenocarcinoma,31
C1704377,Bright Disease,31
C3853041,Severe Congenital Microcephaly,31
C0023891,"Liver Cirrhosis, Alcoholic",30
C0029925,Ovarian Carcinoma,30
C0038325,Stevens-Johnson Syndrome,30
C0242383,Age related macular degeneration,30
C0346153,"Breast Cancer, Familial",30
C0431399,Familial aplasia of the vermis,30
C0543888,Epileptic encephalopathy,30
C0752105,"Parkinsonism, Juvenile",30
C1260899,"Anemia, Diamond-Blackfan",30
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,30
C1868672,"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE",30
C4721610,"Carcinoma, Ovarian Epithelial",30
C0014518,Toxic Epidermal Necrolysis,29
C0020459,Hyperinsulinism,29
C0023473,"Myeloid Leukemia, Chronic",29
C0085996,Child Development Deviations,29
C0085997,"Child Development Disorders, Specific",29
C0149504,"Encephalopathy, Toxic",29
C0152426,Craniorachischisis,29
C0154659,Toxic Encephalitis,29
C0265219,Miller Dieker syndrome,29
C0393554,Amyotrophic Lateral Sclerosis With Dementia,29
C0496920,Neoplasm of uncertain or unknown behavior of ovary,29
C0751263,Learning Disturbance,29
C0751265,Learning Disabilities,29
C1136249,"Mental Retardation, X-Linked",29
C1274933,Drug-Induced Stevens Johnson Syndrome,29
C1333990,Hereditary Nonpolyposis Colorectal Cancer,29
C2930471,Bilateral Wilms Tumor,29
C3489532,Cone-Rod Dystrophy 2,29
C3658301,Mycoplasma-Induced Stevens-Johnson Syndrome,29
C3658302,Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,29
C4721806,"Carcinoma, Basal Cell",29
C0010068,Coronary heart disease,28
C0011999,Diastematomyelia,28
C0013336,Dwarfism,28
C0027806,Neurenteric Cyst,28
C0080218,Tethered Cord Syndrome,28
C0086432,"Hyalinosis, Segmental Glomerular",28
C0152234,Iniencephaly,28
C0242423,Ramsay Hunt Paralysis Syndrome,28
C0266453,Exencephaly,28
C0334579,Anaplastic astrocytoma,28
C0341869,"Subfertility, Female",28
C0344479,Spinal Cord Myelodysplasia,28
C0702169,Acrania,28
C0752097,Autosomal Dominant Juvenile Parkinson Disease,28
C0752098,Autosomal Dominant Parkinsonism,28
C0752100,Autosomal Recessive Parkinsonism,28
C0752101,"Parkinsonism, Experimental",28
C0752104,Familial Juvenile Parkinsonism,28
C1368275,Pigmented Basal Cell Carcinoma,28
C1868675,"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE",28
C0009319,Colitis,27
C0036920,Sezary Syndrome,27
C0149721,Left Ventricular Hypertrophy,27
C1112155,Hereditary non-polyposis colorectal cancer syndrome,27
C0004114,Astrocytoma,26
C0023465,Acute monocytic leukemia,26
C0024232,Lymphatic Metastasis,26
C0030312,Pancytopenia,26
C0162809,Kallmann Syndrome,26
C0206698,Cholangiocarcinoma,26
C0280785,Diffuse Astrocytoma,26
C0334580,Protoplasmic astrocytoma,26
C0334581,Gemistocytic astrocytoma,26
C0334582,Fibrillary Astrocytoma,26
C0334583,Pilocytic Astrocytoma,26
C0684249,Carcinoma of lung,26
C1257963,Endogenous Hyperinsulinism,26
C1257964,Exogenous Hyperinsulinism,26
C1257965,Compensatory Hyperinsulinemia,26
C0011574,Involutional Depression,25
C0015625,Fanconi Anemia,25
C0018784,Sensorineural Hearing Loss (disorder),25
C0158981,Neonatal diabetes mellitus,25
C0205768,Subependymal Giant Cell Astrocytoma,25
C0280783,Juvenile Pilocytic Astrocytoma,25
C0338070,Childhood Cerebral Astrocytoma,25
C0547065,Mixed oligoastrocytoma,25
C0746787,Cancer of Neck,25
C0750935,Cerebral Astrocytoma,25
C0750936,Intracranial Astrocytoma,25
C1571983,Involutional paraphrenia,25
C1571984,"Psychosis, Involutional",25
C1704230,Grade I Astrocytoma,25
C4551472,Hypertrophic obstructive cardiomyopathy,25
C0004943,Behcet Syndrome,24
C0019202,Hepatolenticular Degeneration,24
C0027707,"Nephritis, Interstitial",24
C0028326,Noonan Syndrome,24
C0036690,Septicemia,24
C0037769,West Syndrome,24
C0162557,"Liver Failure, Acute",24
C0178417,Anhedonia,24
C0268237,Cytochrome-c Oxidase Deficiency,24
C0345905,Intrahepatic Cholangiocarcinoma,24
C0524524,Pseudoaphakia,24
C0699791,Stomach Carcinoma,24
C0751177,Cancer of Head,24
C0751882,"Myasthenic Syndromes, Congenital",24
C0887833,"Carcinoma, Pancreatic Ductal",24
C1142166,Brugada Syndrome (disorder),24
C1263846,Attention deficit hyperactivity disorder,24
C1527352,Hepatic Form of Wilson Disease,24
C1719672,Severe Sepsis,24
C3805278,Extrahepatic Cholangiocarcinoma,24
C0007959,Charcot-Marie-Tooth Disease,23
C0014556,"Epilepsy, Temporal Lobe",23
C0014558,Uncinate Epilepsy,23
C0027947,Neutropenia,23
C0079773,"Lymphoma, T-Cell, Cutaneous",23
C0266487,Etat Marbre,23
C0393672,"Epilepsy, Benign Psychomotor, Childhood",23
C0393682,"Epilepsy, Lateral Temporal",23
C0406537,Morbilliform Drug Reaction,23
C1335177,Ovarian Serous Adenocarcinoma,23
C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,23
C0006267,Bronchiectasis,22
C0018781,Noise-induced hearing loss,22
C0019189,"Hepatitis, Chronic",22
C0019829,Hodgkin Disease,22
C0035078,Kidney Failure,22
C0036421,Systemic Scleroderma,22
C0041671,Attention Deficit Disorder,22
C0079770,"Lymphoma, Small Noncleaved-Cell",22
C0149519,Chronic Persistent Hepatitis,22
C0162671,MELAS Syndrome,22
C0175704,LEOPARD Syndrome,22
C0205695,"Carcinoid, Goblet Cell",22
C0242488,Acute Lung Injury,22
C0265202,Seckel syndrome,22
C0339527,Leber Congenital Amaurosis,22
C0376407,Granulomatous Slack Skin,22
C0431350,Primary microcephaly,22
C0520463,Chronic active hepatitis,22
C0524611,Cryptogenic Chronic Hepatitis,22
C0600176,Argentaffinoma,22
C0752347,Lewy Body Disease,22
C1292778,Chronic myeloproliferative disorder,22
C1321905,Minimal Brain Dysfunction,22
C1800706,Idiopathic Pulmonary Fibrosis,22
C1839839,MAJOR AFFECTIVE DISORDER 2,22
C1843687,"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)",22
C2931822,Nasopharyngeal carcinoma,22
C3711387,Autosomal Recessive Primary Microcephaly,22
C4721532,"Lymphoma, Non-Hodgkin, Familial",22
C0003886,Arthrogryposis,21
C0007112,Adenocarcinoma of prostate,21
C0020179,Huntington Disease,21
C0024302,Reticulosarcoma,21
C0024304,"Lymphoma, Mixed-Cell",21
C0024306,"Lymphoma, Undifferentiated",21
C0024530,Malaria,21
C0026760,Multiple Epiphyseal Dysplasia,21
C0033937,"Psychoses, Drug",21
C0041349,"Nephritis, Tubulointerstitial",21
C0079740,High Grade Lymphoma (neoplasm),21
C0079741,"Lymphoma, Intermediate-Grade",21
C0079747,Low Grade Lymphoma (neoplasm),21
C0079757,Diffuse Mixed-Cell Lymphoma,21
C0085215,"Ovarian Failure, Premature",21
C0149871,Deep Vein Thrombosis,21
C0235833,Congenital diaphragmatic hernia,21
C0273115,Lung Injury,21
C1292769,Precursor B-cell lymphoblastic leukemia,21
C2350344,Chronic Lung Injury,21
C3165106,Infiltrating duct carcinoma of female breast,21
C3714542,"Lymphoma, Diffuse",21
C4551568,Joubert syndrome 1,21
C0010278,Craniosynostosis,20
C0011052,Prelingual Deafness,20
C0013080,Down Syndrome,20
C0024301,"Lymphoma, Follicular",20
C0026850,Muscular Dystrophy,20
C0029410,Osteoarthritis of hip,20
C0037773,"Spastic Paraplegia, Hereditary",20
C0085110,Severe Combined Immunodeficiency,20
C0235974,Pancreatic carcinoma,20
C0751068,"Deafness, Acquired",20
C4082305,Deaf Mutism,20
C4721952,Familial Idiopathic Pulmonary Fibrosis,20
C0002170,Alopecia,19
C0007103,Malignant neoplasm of endometrium,19
C0020305,Hydrops Fetalis,19
C0020473,Hyperlipidemia,19
C0023794,Lipoidosis,19
C0025286,Meningioma,19
C0031511,Pheochromocytoma,19
C0086873,Pseudopelade,19
C0265699,Congenital hernia of foramen of Morgagni,19
C0265700,Congenital hernia of foramen of Bochdalek,19
C0349639,Juvenile Myelomonocytic Leukemia,19
C0432416,"Down Syndrome, Partial Trisomy 21",19
C0432417,"Trisomy 21, Meiotic Nondisjunction",19
C0587248,Costello syndrome (disorder),19
C0751081,"Trisomy 21, Mitotic Nondisjunction",19
C0751884,"Congenital Myasthenic Syndromes, Presynaptic",19
C1275081,Cardio-facio-cutaneous syndrome,19
C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,19
C1843181,Noonan syndrome-like disorder with loose anagen hair,19
C2700553,Omenn Syndrome,19
C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",19
C3501846,Noonan-Like Syndrome With Loose Anagen Hair,19
C4721508,Hamman-Rich Disease,19
C4721509,Usual Interstitial Pneumonia,19
C0003123,Anorexia,18
C0006870,Cannabis Dependence,18
C0018923,Hemangiosarcoma,18
C0020445,"Hypercholesterolemia, Familial",18
C0023466,"Leukemia, Monocytic, Chronic",18
C0023470,Myeloid Leukemia,18
C0029172,Oral Submucous Fibrosis,18
C0038358,Gastric ulcer,18
C0206686,Adrenocortical carcinoma,18
C0271623,Hypogonadotropic hypogonadism,18
C0342384,Idiopathic hypogonadotropic hypogonadism,18
C0346191,Carcinoma in situ of endometrium,18
C0392557,Nuclear cataract,18
C0546264,Congenital Fiber Type Disproportion,18
C0699885,Carcinoma of bladder,18
C0751778,"Myoclonic Epilepsies, Progressive",18
C0751779,Action Myoclonus-Renal Failure Syndrome,18
C0752166,Bardet-Biedl Syndrome,18
C1112705,Nuclear non-senile cataract,18
C3714506,Meckel syndrome type 1,18
C0002622,Amnesia,17
C0003257,Antibody Deficiency Syndrome,17
C0009691,Congenital cataract,17
C0015923,Fetal Alcohol Syndrome,17
C0026654,Moyamoya Disease,17
C0027404,Narcolepsy,17
C0032580,Adenomatous Polyposis Coli,17
C0033941,"Psychoses, Substance-Induced",17
C0034067,Pulmonary Emphysema,17
C0036349,Paranoid Schizophrenia,17
C0039685,Tetralogy of Fallot,17
C0041948,Uremia,17
C0042900,Vitiligo,17
C0079541,Holoprosencephaly,17
C0086438,Hypogammaglobulinemia,17
C0153943,Benign neoplasm of stomach,17
C0154060,Carcinoma in situ of stomach,17
C0221356,Brachycephaly,17
C0241910,Autoimmune Chronic Hepatitis,17
C0339535,"Night blindness, congenital stationary",17
C0340543,Familial primary pulmonary hypertension,17
C0432272,Van Buchem disease,17
C0496905,Neoplasm of uncertain or unknown behavior of stomach,17
C0497327,Dementia,17
C0520459,Necrotizing Enterocolitis,17
C0751776,Atypical Inclusion-Body Disease,17
C0751777,Familial Progressive Myoclonic Epilepsy,17
C0751780,Biotin-Responsive Encephalopathy,17
C0751781,Dentatorubral-Pallidoluysian Atrophy,17
C0751782,May-White Syndrome,17
C0751883,"Congenital Myasthenic Syndromes, Postsynaptic",17
C0853193,Bipolar I disorder,17
C1565489,Renal Insufficiency,17
C2936862,Bardet-Biedl syndrome 1 (disorder),17
C3661523,Congenital Intestinal Aganglionosis,17
C0004763,Barrett Esophagus,16
C0011603,Dermatitis,16
C0011875,Diabetic Angiopathies,16
C0011884,Diabetic Retinopathy,16
C0012236,DiGeorge Syndrome,16
C0020619,Hypogonadism,16
C0025237,Melnick-Needles Syndrome,16
C0025945,"Microangiopathy, Diabetic",16
C0030044,Acrocephaly,16
C0035828,Romano-Ward Syndrome,16
C0036391,Schwartz-Jampel Syndrome,16
C0038015,Spondyloepiphyseal Dysplasia,16
C0042109,Urticaria,16
C0043459,Zellweger Syndrome,16
C0079772,T-Cell Lymphoma,16
C0085159,Seasonal Affective Disorder,16
C0162871,"Aortic Aneurysm, Abdominal",16
C0206726,gliosarcoma,16
C0220704,Shprintzen syndrome,16
C0265534,Scaphycephaly,16
C0265535,Trigonocephaly,16
C0265965,Dyskeratosis Congenita,16
C0266539,Congenital total cataract,16
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",16
C0338656,Impaired cognition,16
C0393706,Early infantile epileptic encephalopathy with suppression bursts,16
C0428908,Sinus Node Dysfunction (disorder),16
C0431362,Lobar Holoprosencephaly,16
C0745103,Hyperlipoproteinemia Type IIa,16
C0750940,"Tremor, Rubral",16
C0751362,Narcolepsy-Cataplexy Syndrome,16
C0751617,Semilobar Holoprosencephaly,16
C0751885,"Myasthenic Syndromes, Congenital, Slow Channel",16
C0795907,CONOTRUNCAL ANOMALY FACE SYNDROME,16
C1257877,"Pheochromocytoma, Extra-Adrenal",16
C1258085,Barrett Epithelium,16
C1833340,Synostotic Posterior Plagiocephaly,16
C1839071,"Spermatogenic Failure, Nonobstructive, Y-Linked",16
C1860819,Metopic synostosis,16
C2713442,"Polyposis, Adenomatous Intestinal",16
C2713443,Familial Intestinal Polyposis,16
C2931150,Synostotic Anterior Plagiocephaly,16
C3203102,Idiopathic pulmonary arterial hypertension,16
C3541456,"Spondyloepiphyseal Dysplasia Tarda, X-Linked",16
C3888631,Monogenic diabetes,16
C4551479,"Schwartz-Jampel Syndrome, Type 1",16
C4551675,"Keratoderma, Palmoplantar",16
C4551902,"Craniosynostosis, Type 1",16
C0002452,Amelogenesis Imperfecta,15
C0007370,Catalepsy,15
C0009447,Common Variable Immunodeficiency,15
C0013386,"Dyskinesia, Drug-Induced",15
C0019025,Hemoglobin F Disease,15
C0019196,Hepatitis C,15
C0027092,Myopia,15
C0027654,Embryonal Neoplasm,15
C0027720,Nephrosis,15
C0029434,Osteogenesis Imperfecta,15
