term_id,term_name,genes_associated_in_db,source
C0334082,"NEVUS, EPIDERMAL (disorder)",2,UNIPROT
C0338106,Adenocarcinoma of colon,2,UNIPROT
C0338451,Frontotemporal dementia,2,UNIPROT
C0339277,"Corneal Dystrophy, Juvenile Epithelial of Meesmann",2,UNIPROT
C0339537,Cone monochromatism,2,UNIPROT
C0342907,Sitosterolemia,2,UNIPROT
C0345893,Juvenile polyposis syndrome,2,UNIPROT
C0346167,Undifferentiated carcinoma of ovary,2,UNIPROT
C0476089,Endometrial Carcinoma,2,UNIPROT
C0740457,Malignant neoplasm of kidney,2,UNIPROT
C0745103,Hyperlipoproteinemia Type IIa,2,UNIPROT
C0751337,X-Linked Emery-Dreifuss Muscular Dystrophy,2,UNIPROT
C0751748,Nonketotic Hyperglycinemia,2,UNIPROT
C0751783,Lafora Disease,2,UNIPROT
C0795905,Cantu syndrome,2,UNIPROT
C0795998,JACKSON-WEISS SYNDROME,2,UNIPROT
C1328840,Autoimmune Lymphoproliferative Syndrome,2,UNIPROT
C1332201,Adult Diffuse Large B-Cell Lymphoma,2,UNIPROT
C1449843,"Pseudohypoaldosteronism, Type I, Autosomal Recessive",2,UNIPROT
C1832322,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive",2,UNIPROT
C1832648,Hypoparathyroidism familial isolated,2,UNIPROT
C1832702,"BRACHYDACTYLY, TYPE A2",2,UNIPROT
C1832845,"USHER SYNDROME, TYPE ID",2,UNIPROT
C1833308,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE V",2,UNIPROT
C1834671,FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1B,2,UNIPROT
C1838990,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL",2,UNIPROT
C1839040,LEBER OPTIC ATROPHY AND DYSTONIA,2,UNIPROT
C1842028,"GLAUCOMA 1, OPEN ANGLE, A",2,UNIPROT
C1843139,"Hypercholanemia, Familial",2,UNIPROT
C1843463,"Ichthyosis, Cyclic, with Epidermolytic Hyperkeratosis",2,UNIPROT
C1849930,Persistent Mullerian duct syndrome,2,UNIPROT
C1851402,Exudative vitreoretinopathy 1,2,UNIPROT
C1855465,STARGARDT DISEASE 1 (disorder),2,UNIPROT
C1856439,"GLAUCOMA 3, PRIMARY CONGENITAL, A",2,UNIPROT
C1858656,"Short Stature, Idiopathic, Autosomal",2,UNIPROT
C1861195,"Glanzmann Thrombasthenia, Autosomal Dominant",2,UNIPROT
C1861556,"Cirrhosis, Familial",2,UNIPROT
C1865871,"HEMANGIOMA, CAPILLARY INFANTILE",2,UNIPROT
C1969443,Trifunctional Protein Deficiency With Myopathy And Neuropathy,2,UNIPROT
C2673536,Combined Cellular And Humoral Immune Defects With Granulomas,2,UNIPROT
C2936862,Bardet-Biedl syndrome 1 (disorder),2,UNIPROT
C3150902,C1q DEFICIENCY,2,UNIPROT
C3715082,"EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE 1",2,UNIPROT
C4011726,"MYOPATHY, TUBULAR AGGREGATE, 1",2,UNIPROT
C4551825,Megaloblastic Anemia 1,2,UNIPROT
C4551952,"Myopathy, Centronuclear, 1",2,UNIPROT
C4551959,ATRIAL STANDSTILL 1,2,UNIPROT
C4552122,"EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1",2,UNIPROT
C4721532,"Lymphoma, Non-Hodgkin, Familial",2,UNIPROT
C4721610,"Carcinoma, Ovarian Epithelial",2,UNIPROT
C4721806,"Carcinoma, Basal Cell",2,UNIPROT
C4746745,"ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE",2,UNIPROT
C0000744,Abetalipoproteinemia,1,UNIPROT
C0001080,Achondroplasia,1,UNIPROT
C0001193,Apert syndrome,1,UNIPROT
C0002066,Alkaptonuria,1,UNIPROT
C0002874,Aplastic Anemia,1,UNIPROT
C0002895,"Anemia, Sickle Cell",1,UNIPROT
C0002902,Anencephaly,1,UNIPROT
C0002986,Fabry Disease,1,UNIPROT
C0003076,Aniridia,1,UNIPROT
C0003873,Rheumatoid Arthritis,1,UNIPROT
C0004135,Ataxia Telangiectasia,1,UNIPROT
C0004903,Beckwith-Wiedemann Syndrome,1,UNIPROT
C0005283,beta Thalassemia,1,UNIPROT
C0005426,Biliary Tract Neoplasm,1,UNIPROT
C0005859,Bloom Syndrome,1,UNIPROT
C0007286,Carpal Tunnel Syndrome,1,UNIPROT
C0007965,Chediak-Higashi Syndrome,1,UNIPROT
C0008029,Cherubism,1,UNIPROT
C0008479,Chondrosarcoma,1,UNIPROT
C0008525,Choroideremia,1,UNIPROT
C0008533,Hemophilia B,1,UNIPROT
C0008928,Cleidocranial Dysplasia,1,UNIPROT
C0009081,Congenital clubfoot,1,UNIPROT
C0009363,Congenital ocular coloboma (disorder),1,UNIPROT
C0010324,"Crigler Najjar syndrome, type 1",1,UNIPROT
C0010346,Crohn Disease,1,UNIPROT
C0010674,Cystic Fibrosis,1,UNIPROT
C0011854,"Diabetes Mellitus, Insulin-Dependent",1,UNIPROT
C0011989,Camurati-Engelmann Syndrome,1,UNIPROT
C0012236,DiGeorge Syndrome,1,UNIPROT
C0013264,"Muscular Dystrophy, Duchenne",1,UNIPROT
C0013364,"Dysautonomia, Familial",1,UNIPROT
C0014084,Enchondromatosis,1,UNIPROT
C0014805,Primary Erythermalgia,1,UNIPROT
C0015306,Hereditary Multiple Exostoses,1,UNIPROT
C0015499,Hereditary Factor V Deficiency,1,UNIPROT
C0015503,Factor VII Deficiency,1,UNIPROT
C0015519,Factor X Deficiency,1,UNIPROT
C0015523,Hereditary Factor XI Deficiency,1,UNIPROT
C0015526,Factor XII Deficiency,1,UNIPROT
C0016037,Fibrodysplasia Ossificans Progressiva,1,UNIPROT
C0016395,Focal Dermal Hypoplasia,1,UNIPROT
C0016667,Fragile X Syndrome,1,UNIPROT
C0016751,Hereditary fructose intolerance syndrome,1,UNIPROT
C0016756,"Fructose-1,6-Diphosphatase Deficiency",1,UNIPROT
C0016788,Fucosidase Deficiency Disease,1,UNIPROT
C0017495,Gerstmann-Straussler-Scheinker Disease,1,UNIPROT
C0017551,Gilbert Disease (disorder),1,UNIPROT
C0017636,Glioblastoma,1,UNIPROT
C0017920,Glycogen Storage Disease Type I,1,UNIPROT
C0017921,Glycogen storage disease type II,1,UNIPROT
C0017922,Glycogen Storage Disease Type III,1,UNIPROT
C0017923,Glycogen Storage Disease Type IV,1,UNIPROT
C0017924,Glycogen Storage Disease Type V,1,UNIPROT
C0017925,Glycogen Storage Disease Type VI,1,UNIPROT
C0017926,Glycogen Storage Disease Type VII,1,UNIPROT
C0017980,"Glycosuria, Renal",1,UNIPROT
C0018425,Gyrate Atrophy,1,UNIPROT
C0018522,Hallermann's Syndrome,1,UNIPROT
C0018523,Hallervorden-Spatz Syndrome,1,UNIPROT
C0018553,"Hamartoma Syndrome, Multiple",1,UNIPROT
C0018609,Hartnup Disease,1,UNIPROT
C0019069,Hemophilia A,1,UNIPROT
C0019202,Hepatolenticular Degeneration,1,UNIPROT
C0019562,Von Hippel-Lindau Syndrome,1,UNIPROT
C0020071,"Hereditary Sensory Autonomic Neuropathy, Type 1",1,UNIPROT
C0020074,HSAN Type IV,1,UNIPROT
C0020075,"Hereditary Sensory Autonomic Neuropathy, Type 5",1,UNIPROT
C0020474,"Hyperlipidemia, Familial Combined",1,UNIPROT
C0020479,Hyperlipoproteinemia Type III,1,UNIPROT
C0020480,Hyperlipoproteinemia Type IV,1,UNIPROT
C0020497,Cortical Congenital Hyperostosis,1,UNIPROT
C0020514,Hyperprolactinemia,1,UNIPROT
C0020640,Inherited Factor II deficiency,1,UNIPROT
C0021171,Bloch Sulzberger syndrome,1,UNIPROT
C0021847,Intestinal Pseudo-Obstruction,1,UNIPROT
C0022336,Creutzfeldt-Jakob disease,1,UNIPROT
C0022350,"Jaundice, Chronic Idiopathic",1,UNIPROT
C0022595,Keratosis Follicularis,1,UNIPROT
C0022716,Menkes Kinky Hair Syndrome,1,UNIPROT
C0022739,Klippel-Trenaunay-Weber Syndrome,1,UNIPROT
C0022797,Adult Neuronal Ceroid Lipofuscinosis,1,UNIPROT
C0023138,Laurence-Moon Syndrome,1,UNIPROT
C0023195,Lecithin Acyltransferase Deficiency,1,UNIPROT
C0023234,Legg-Calve-Perthes Disease,1,UNIPROT
C0023374,Lesch-Nyhan Syndrome,1,UNIPROT
C0023434,Chronic Lymphocytic Leukemia,1,UNIPROT
C0023440,Acute Erythroblastic Leukemia,1,UNIPROT
C0023452,Childhood Acute Lymphoblastic Leukemia,1,UNIPROT
C0023461,"Leukemia, Mast-Cell",1,UNIPROT
C0023473,"Myeloid Leukemia, Chronic",1,UNIPROT
C0023521,Globoid cell leukodystrophy,1,UNIPROT
C0023522,"Leukodystrophy, Metachromatic",1,UNIPROT
C0023601,Leydig Cell Tumor,1,UNIPROT
C0023795,Lipoid Proteinosis of Urbach and Wiethe,1,UNIPROT
C0023817,Hyperlipoproteinemia Type I,1,UNIPROT
C0024145,Chilblain lupus 1,1,UNIPROT
C0024507,Majewski Syndrome,1,UNIPROT
C0024748,alpha-Mannosidosis,1,UNIPROT
C0024796,Marfan Syndrome,1,UNIPROT
C0025221,Meleda Disease,1,UNIPROT
C0025237,Melnick-Needles Syndrome,1,UNIPROT
C0025267,Multiple Endocrine Neoplasia Type 1,1,UNIPROT
C0025268,Multiple Endocrine Neoplasia Type 2a,1,UNIPROT
C0025269,Multiple Endocrine Neoplasia Type 2b,1,UNIPROT
C0026705,Mucopolysaccharidosis II,1,UNIPROT
C0026708,Mucopolysaccharidosis V,1,UNIPROT
C0026709,Mucopolysaccharidosis VI,1,UNIPROT
C0026987,Myelofibrosis,1,UNIPROT
C0027341,Nail-Patella Syndrome,1,UNIPROT
C0027831,Neurofibromatosis 1,1,UNIPROT
C0027832,Neurofibromatosis 2,1,UNIPROT
C0028860,Oculocerebrorenal Syndrome,1,UNIPROT
C0029456,Osteoporosis,1,UNIPROT
C0030297,Pancreatic Neoplasm,1,UNIPROT
C0030360,Papillon-Lefevre Disease,1,UNIPROT
C0030421,Paraganglioma,1,UNIPROT
C0030779,Pelger-Huet Anomaly,1,UNIPROT
C0031069,Familial Mediterranean Fever,1,UNIPROT
C0031190,Persistent Fetal Circulation Syndrome,1,UNIPROT
C0031269,Peutz-Jeghers Syndrome,1,UNIPROT
C0032027,Pityriasis Rubra Pilaris,1,UNIPROT
C0032463,Polycythemia Vera,1,UNIPROT
C0032580,Adenomatous Polyposis Coli,1,UNIPROT
C0033300,Progeria,1,UNIPROT
C0033788,Pseudo-Hurler Polydystrophy,1,UNIPROT
C0034960,Refsum Disease,1,UNIPROT
C0035334,Retinitis Pigmentosa,1,UNIPROT
C0035335,Retinoblastoma,1,UNIPROT
C0035372,Rett Syndrome,1,UNIPROT
C0035412,Rhabdomyosarcoma,1,UNIPROT
C0036069,Saldino-Noonan Syndrome,1,UNIPROT
C0036161,Sandhoff Disease,1,UNIPROT
C0036341,Schizophrenia,1,UNIPROT
C0037231,Sjogren-Larsson Syndrome,1,UNIPROT
C0038505,Sturge-Weber Syndrome,1,UNIPROT
C0039292,Tangier Disease,1,UNIPROT
C0039373,Tay-Sachs Disease,1,UNIPROT
C0039585,Androgen-Insensitivity Syndrome,1,UNIPROT
C0040953,Trichotillomania,1,UNIPROT
C0042781,Visceral Myopathy,1,UNIPROT
C0043116,HMN (Hereditary Motor Neuropathy) Proximal Type I,1,UNIPROT
C0043119,Werner Syndrome,1,UNIPROT
C0043194,Wiskott-Aldrich Syndrome,1,UNIPROT
C0043202,Wolff-Parkinson-White Syndrome,1,UNIPROT
C0043208,Wolman Disease,1,UNIPROT
C0079474,Hallopeau-Siemens Disease,1,UNIPROT
C0079588,"Ichthyosis, X-Linked",1,UNIPROT
C0079661,Klein's Syndrome,1,UNIPROT
C0079683,Herlitz Disease,1,UNIPROT
C0080024,Piebaldism,1,UNIPROT
C0085083,Ovarian Hyperstimulation Syndrome,1,UNIPROT
C0085106,Familial benign pemphigus,1,UNIPROT
C0085132,Mucopolysaccharidosis VII,1,UNIPROT
C0085261,Proteus Syndrome,1,UNIPROT
C0085390,Li-Fraumeni Syndrome,1,UNIPROT
C0085548,Autosomal Recessive Polycystic Kidney Disease,1,UNIPROT
C0085576,Iron-Refractory Iron Deficiency Anemia,1,UNIPROT
C0085859,Polyglandular Type I Autoimmune Syndrome,1,UNIPROT
C0086431,Hurler-Scheie Syndrome,1,UNIPROT
C0086647,Mucopolysaccharidosis Type IIIA,1,UNIPROT
C0086648,MPS III B,1,UNIPROT
C0086649,MPS III C,1,UNIPROT
C0086650,MPS III D,1,UNIPROT
C0086651,"Mucopolysaccharidosis, MPS-IV-A",1,UNIPROT
C0086652,Mucopolysaccharidosis type IVB,1,UNIPROT
C0086795,Pfaundler-Hurler Syndrome,1,UNIPROT
C0152109,Juvenile Spinal Muscular Atrophy,1,UNIPROT
C0153567,Uterine Cancer,1,UNIPROT
C0155017,"Color Blindness, Blue",1,UNIPROT
C0155299,Coloboma of optic disc,1,UNIPROT
C0155912,Pulmonary Alveolar Microlithiasis,1,UNIPROT
C0157743,Vibratory urticaria,1,UNIPROT
C0162309,Adrenoleukodystrophy,1,UNIPROT
C0162359,Christ-Siemens-Touraine syndrome,1,UNIPROT
C0162361,Hidrotic Ectodermal Dysplasia,1,UNIPROT
C0162530,"Porphyria, Erythropoietic",1,UNIPROT
C0162531,Hereditary Coproporphyria,1,UNIPROT
C0162532,Variegate Porphyria,1,UNIPROT
C0162565,Acute intermittent porphyria,1,UNIPROT
C0162566,Porphyria Cutanea Tarda,1,UNIPROT
C0162635,Angelman Syndrome,1,UNIPROT
C0175692,Johanson-Blizzard syndrome,1,UNIPROT
C0175694,Smith-Lemli-Opitz Syndrome,1,UNIPROT
C0175699,Saethre-Chotzen Syndrome,1,UNIPROT
C0175701,Aarskog syndrome,1,UNIPROT
C0175778,Larsen syndrome,1,UNIPROT
C0205710,Alpers Syndrome (disorder),1,UNIPROT
C0205711,Pelizaeus-Merzbacher Disease,1,UNIPROT
C0205713,Roussy-Levy Syndrome (disorder),1,UNIPROT
C0206042,Fatal Familial Insomnia,1,UNIPROT
C0206307,Canavan Disease,1,UNIPROT
C0206686,Adrenocortical carcinoma,1,UNIPROT
C0206692,"Carcinoma, Lobular",1,UNIPROT
C0206711,Pilomatrixoma,1,UNIPROT
C0220662,"ARTHROGRYPOSIS, DISTAL, TYPE 1",1,UNIPROT
C0220663,"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS (disorder)",1,UNIPROT
C0220664,"BRACHYDACTYLY, TYPE D",1,UNIPROT
C0220666,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA",1,UNIPROT
C0220668,Congenital contractural arachnodactyly,1,UNIPROT
C0220685,Achondrogenesis type 2,1,UNIPROT
C0220687,KBG syndrome,1,UNIPROT
C0220701,RETINITIS PIGMENTOSA 1,1,UNIPROT
C0220704,Shprintzen syndrome,1,UNIPROT
C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,1,UNIPROT
C0220721,"CATARACT 46, JUVENILE-ONSET",1,UNIPROT
C0220722,Cerebrooculofacioskeletal Syndrome 1,1,UNIPROT
C0220743,Childhood hypophosphatasia (disorder),1,UNIPROT
C0220744,Multiple gastrointestinal atresias (disorder),1,UNIPROT
C0220754,Biotinidase Deficiency,1,UNIPROT
C0220767,Craniofrontonasal dysplasia,1,UNIPROT
C0220769,FG syndrome,1,UNIPROT
C0221023,Cyclic neutropenia,1,UNIPROT
C0221026,X-linked agammaglobulinemia,1,UNIPROT
C0221036,Acrodermatitis enteropathica,1,UNIPROT
C0221043,Liddle Syndrome,1,UNIPROT
C0221054,Welander Distal Myopathy,1,UNIPROT
C0221055,Paramyotonia Congenita (disorder),1,UNIPROT
C0221061,Behr syndrome,1,UNIPROT
C0221406,Pituitary-dependent Cushing's disease,1,UNIPROT
C0238052,"Xanthomatosis, Cerebrotendinous",1,UNIPROT
C0238286,Mucolipidosis Type IV,1,UNIPROT
C0238357,Hyperkalemic periodic paralysis,1,UNIPROT
C0238402,Pycnodysostosis,1,UNIPROT
C0240912,Vertical Talus,1,UNIPROT
C0242287,Isaacs syndrome,1,UNIPROT
C0242292,McCune-Albright Syndrome,1,UNIPROT
C0242387,Mandibulofacial Dysostosis,1,UNIPROT
C0242852,Proliferative vitreoretinopathy,1,UNIPROT
C0259771,Steatocystoma multiplex,1,UNIPROT
C0262436,"Cardiac valvular dysplasia, X-linked",1,UNIPROT
C0263428,Burnett Schwartz Berberian syndrome,1,UNIPROT
C0265210,Weaver syndrome,1,UNIPROT
C0265216,X-linked hydrocephalus syndrome,1,UNIPROT
C0265223,Cohen syndrome,1,UNIPROT
C0265224,Freeman-Sheldon syndrome,1,UNIPROT
C0265226,Hecht syndrome (disorder),1,UNIPROT
C0265227,Schinzel-Giedion syndrome,1,UNIPROT
C0265242,Otocephaly,1,UNIPROT
C0265251,Oto-Palato-digital syndrome type 1,1,UNIPROT
C0265252,Coffin-Lowry syndrome,1,UNIPROT
C0265257,Genee-Wiedemann syndrome,1,UNIPROT
C0265259,Popliteal pterygium syndrome,1,UNIPROT
C0265260,"Chondrodysplasia, Grebe type",1,UNIPROT
C0265261,Multiple pterygium syndrome,1,UNIPROT
C0265264,Holt-Oram syndrome,1,UNIPROT
C0265267,Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects,1,UNIPROT
C0265274,"Achondrogenesis, type IB (disorder)",1,UNIPROT
C0265279,Kniest dysplasia,1,UNIPROT
C0265280,"Spondylometaphyseal dysplasia, Kozlowski type",1,UNIPROT
C0265281,Metatropic dwarfism,1,UNIPROT
C0265283,"Atelosteogenesis, type 1",1,UNIPROT
C0265286,Dyggve-Melchior-Clausen syndrome,1,UNIPROT
C0265287,Acromicric Dysplasia,1,UNIPROT
C0265289,Metaphyseal chondrodysplasia Schmid type,1,UNIPROT
C0265295,Jansen type metaphyseal chondrodysplasia,1,UNIPROT
C0265306,Greig cephalopolysyndactyly syndrome,1,UNIPROT
C0265308,Baller-Gerold syndrome,1,UNIPROT
C0265309,Leri-Weill dyschondrosteosis,1,UNIPROT
C0265336,Senter syndrome,1,UNIPROT
C0265339,Borjeson-Forssman-Lehmann syndrome,1,UNIPROT
C0265342,Cerebrocostomandibular Syndrome,1,UNIPROT
C0265343,Jarcho-Levin syndrome,1,UNIPROT
C0265344,Donohue Syndrome,1,UNIPROT
C0265345,Lymphedema distichiasis syndrome,1,UNIPROT
C0265354,CHARGE Syndrome,1,UNIPROT
C0265552,Congenital macrodactylia,1,UNIPROT
C0265964,Mutilating keratoderma,1,UNIPROT
C0265971,Acrokeratosis Verruciformis of Hopf,1,UNIPROT
C0265987,Nevus comedonicus,1,UNIPROT
C0266004,"Knuckle pads, leuconychia and sensorineural deafness",1,UNIPROT
C0266006,Pili torti-deafness syndrome,1,UNIPROT
C0266432,Leydig cell agenesis,1,UNIPROT
C0266526,Norrie disease,1,UNIPROT
C0267662,Congenital chloride diarrhea,1,UNIPROT
C0268117,"Gout, HPRT-Related",1,UNIPROT
C0268118,"Xanthinuria, Type I",1,UNIPROT
C0268120,Adenine phosphoribosyltransferase deficiency,1,UNIPROT
C0268125,Purine-nucleoside phosphorylase deficiency,1,UNIPROT
C0268126,Adenylosuccinate lyase deficiency (disorder),1,UNIPROT
C0268130,"Hereditary orotic aciduria, type 1",1,UNIPROT
C0268135,"Xeroderma pigmentosum, group A",1,UNIPROT
C0268136,"Xeroderma pigmentosum, group B",1,UNIPROT
C0268138,"Xeroderma Pigmentosum, Complementation Group D",1,UNIPROT
C0268140,"Xeroderma pigmentosum, group F",1,UNIPROT
C0268141,"Xeroderma pigmentosum, group G",1,UNIPROT
C0268146,Glucose-6-phosphate transport defect,1,UNIPROT
C0268149,Glycogen storage disease type X,1,UNIPROT
C0268151,Classical galactosemia,1,UNIPROT
C0268155,Deficiency of galactokinase,1,UNIPROT
C0268160,Deficiency of fructokinase,1,UNIPROT
C0268164,"Primary hyperoxaluria, type I",1,UNIPROT
C0268186,Congenital glucose-galactose malabsorption,1,UNIPROT
C0268194,Phosphoenolpyruvate carboxykinase deficiency,1,UNIPROT
C0268233,GALACTOSIALIDOSIS,1,UNIPROT
C0268238,Triglyceride storage disease with ichthyosis,1,UNIPROT
C0268242,"Niemann-Pick Disease, Type A",1,UNIPROT
C0268243,"Niemann-Pick Disease, Type B",1,UNIPROT
C0268250,"Gaucher Disease, Type 2 (disorder)",1,UNIPROT
C0268251,"Gaucher Disease, Type 3 (disorder)",1,UNIPROT
C0268255,Farber Lipogranulomatosis,1,UNIPROT
